Month,Total,Russian Federation,South Africa,United States,Canada,Colombia,Australia,Other
2017-04-01,2.680781,0.98991,0.124473,0.453845,0,0.406368,0,0.706185
2017-05-01,3.170254,1.412335,0.06324,0.652102,0,0.365624,0,0.676953
2017-06-01,3.176261,1.256432,0.028163,0.493914,0,0.384242,0,1.01351
2017-07-01,2.821282,1.277659,0.012641,0.550918,0,0.283314,0,0.69675
2017-08-01,3.02523,1.197645,0.044884,0.633965,0,0.263436,0,0.8853
2017-09-01,3.162058,1.525564,0.087737,0.374712,0,0.249645,0,0.9244
2017-10-01,3.366222,1.356267,0.060797,0.859878,0,0.255207,0,0.834073
2017-11-01,3.797351,1.418477,0.069648,0.809459,0,0.433405,0,1.066362
2017-12-01,3.062499,1.388754,0.063959,0.579068,0,0.298027,0,0.732691
2018-01-01,3.266043,1.406105,0,0.535676,0,0.217218,0.644175,0.462869
2018-02-01,3.039768,1.306942,0,0.679646,0,0.2547,0.214245,0.584235
2018-03-01,3.440384,1.69776,0,0.561519,0,0.32228,0.456534,0.402291
2018-04-01,3.01572,1.469903,0,0.613506,0,0.230447,0.303831,0.398033
2018-05-01,2.895703,1.152807,0,0.688127,0,0.112442,0.593938,0.348389
2018-06-01,2.622393,1.298709,0,0.592087,0,0.189736,0.32478,0.217081
2018-07-01,2.659872,1.282801,0,0.464966,0,0.190639,0.331741,0.389725
2018-08-01,2.933521,1.369417,0,0.668687,0,0.25634,0.474657,0.16442
2018-09-01,3.121971,1.510866,0,0.802523,0,0.210153,0.386508,0.211921
2018-10-01,3.315808,1.457536,0,0.814717,0,0.141527,0.39849,0.503538
2018-11-01,3.912928,2.091876,0,0.736244,0,0.168253,0.531132,0.385423
2018-12-01,3.761193,1.596146,0,0.930465,0,0.206473,0.523833,0.504276
2019-01-01,3.905177,1.530641,0,0.914288,0,0.394976,0.490632,0.57464
2019-02-01,3.771964,1.932434,0,0.686903,0,0.261821,0.377802,0.513004
2019-03-01,3.850856,1.840731,0,0.723174,0,0.255038,0.507049,0.524864
2019-04-01,2.865638,1.1459,0,0.566445,0,0.291347,0.324714,0.537232
2019-05-01,2.466529,1.168918,0,0.416595,0,0.153838,0.378937,0.348241
2019-06-01,2.410152,0.935658,0,0.413421,0,0.14498,0.547187,0.368906
2019-07-01,2.327307,0.964691,0,0.545836,0,0.1736,0.351887,0.291293
2019-08-01,2.676016,1.072664,0,0.43609,0,0.101078,0.48713,0.579054
2019-09-01,2.594583,1.403657,0,0.428412,0,0.0714,0.30147,0.389644
2019-10-01,2.659709,0.990134,0,0.833987,0,0.076476,0.313889,0.445223
2019-11-01,2.780415,1.302572,0,0.438643,0,0.085574,0.431205,0.522421
2019-12-01,2.849399,1.507233,0,0.469401,0,0.098653,0.298332,0.47578
2020-01-01,2.805505,1.497053,0,0.580269,0,0.174514,0.269471,0.284198
2020-02-01,2.284574,1.315368,0,0.376814,0,0.1021,0.216867,0.273425
2020-03-01,2.150619,1.049244,0,0.435866,0,0.13534,0.323204,0.206965
2020-04-01,1.666665,0.733214,0,0.372386,0,0.177363,0.287682,0.09602
2020-05-01,1.892886,0.788733,0,0.321267,0,0.189735,0.398428,0.194723
2020-06-01,1.577126,0.455139,0,0.305488,0,0.237615,0.452054,0.12683
2020-07-01,1.625854,0.691286,0,0.460111,0,0.159854,0.238534,0.076069
2020-08-01,1.746482,0.728686,0,0.289881,0,0.207855,0.330681,0.189379
2020-09-01,2.179545,1.120914,0,0.321133,0,0.228786,0.32608,0.182632
2020-10-01,2.699695,1.410077,0,0.478138,0,0.329572,0.336274,0.145634
2020-11-01,2.411214,1.265719,0,0.317801,0,0.168486,0.377088,0.28212
2020-12-01,2.821251,1.499171,0,0.579205,0,0.202764,0.37503,0.165081
2021-01-01,2.910831,1.576427,0,0.385373,0.201316,0.242808,0.451234,0.053673
2021-02-01,2.513011,1.352067,0,0.43335,0.024456,0.213041,0.459918,0.030179
2021-03-01,2.592459,1.651855,0,0.443408,0,0.112677,0.299861,0.084658
2021-04-01,2.348613,1.474877,0,0.274014,0.149596,0.080276,0.339568,0.030282
2021-05-01,2.874124,1.431317,0,0.715236,0.188159,0.083173,0.425936,0.030303
2021-06-01,2.214476,1.348094,0,0.430097,0.05346,0.063135,0.297468,0.022222
2021-07-01,2.50811,1.349777,0,0.483036,0.043126,0.087671,0.516442,0.028058
2021-08-01,2.44719,1.252668,0,0.434179,0.177901,0.100358,0.441703,0.040381
2021-09-01,2.692286,1.60386,0,0.277212,0,0.130706,0.500103,0.180405
2021-10-01,2.796835,1.629146,0.034774,0.416297,0,0.280778,0.39575,0.04009
2021-11-01,2.853611,1.769515,0,0.256659,0,0.168054,0.431845,0.227538
2021-12-01,3.635681,1.900171,0.226511,0.471481,0,0.215952,0.655602,0.165964
2022-01-01,3.6041,2.050012,0,0.735366,0,0.227554,0.50361,0.087558
2022-02-01,3.021998,1.746442,0,0.444146,0,0.219804,0.368847,0.242759
2022-03-01,3.194068,1.329372,0,0.468214,0,0.687842,0.590198,0.118374
2022-04-01,3.167561,1.259006,0,0.582261,0,0.446914,0.523696,0.355684
2022-05-01,2.766905,1.378698,0,0.571972,0,0.307323,0.362168,0.146744
2022-06-01,2.706974,1.030595,0,0.712063,0,0.210291,0.380118,0.373907
2022-07-01,2.708347,0.860486,0,0.556607,0,0.177379,0.820044,0.293831
2022-08-01,2.440624,0.619480,0,0.429204,0,0.483527,0.418512,0.489901
2022-09-01,2.882731,0.275313,0,0.679374,0,0.939724,0.512167,0.476153
2022-10-01,3.118258,0.349678,0,0.732158,0,0.817730,0.592092,0.6266
2022-11-01,2.693227,0.265159,0,0.742527,0,0.576972,0.576972,0.531597
2022-12-01,2.978516,0.387051,0,0.698386,0,0.667501,0.667501,0.558077
