Date,Country,Buyer,Seller,Techno,Project size (MW),Tenor (years),Offtaker,Remarque,Source,Location,Technology Remark,Offtaker category
2019-10-01,Spain,Grupo Lactalis Iberia SA,Engie,Unknown,,9,Corporate,Engie will supply about 70GWh of electricity per year.,Renewables Now,,N/A,Grupo Lactalis Iberia SA
2019-10-01,Great Britain,Limejump,Bluefield,Solar,,,Utility,VPPA,,,,Limejump
2019-10-01,Spain,Factorenergia,Grupo Enhol,Solar,126,12,Utility,"Enhol is developing a three-plant portfolio of assets across Navarra – two of 50MW in size and a further 26MW scheme – which will provide energy under the 12-year offake deal, and which are expected to be commissioned by the end of 2020.  ",,,,Factorenergia
2019-10-01,United States,Cargill,Geronimo Energy,Onshore Wind,50,12,,"Virtual PPA. Crocker Wind farm project currently under construction in Clark County, South Dakota. Total project will be 200MW",Cargill Website,South Dakota,,Cargill
2019-10-01,Finland,Axpo,OX2,Onshore Wind,60,,Utility,,,,,Axpo
2019-10-01,Spain,Galp,X-Elio,Solar,200,12,Utility,,,,,Galp
2019-10-01,United States,Clean Power Alliance,NexEra Energy Resources,Onshore Wind,300,20,,Will see the construction of the White Hills wind farm near the hoover dam. Construction is expected to be completed late in 2020.,Renewables Now,Arizona,,Clean Power Alliance
2019-10-01,Great Britain,20 Universities,Statkraft,Onshore Wind,,10,Corporate,"A total of 20 universities in the UK have signed a landmark £50 million agreement to buy renewable energy directly from wind farms. Under the aggregated power purchase agreement (PPA), educational institutions including Newcastle University, Exeter University and Aberystwyth will be supplied with electricity from onshore wind farms built across Scotland and Wales.",https://www.energylivenews.com/2019/10/07/uk-universities-earn-a-first-with-landmark-50m-wind-ppa/,Scotland and Wales,,20 Universities
2019-10-01,United States,Digital Realty,Engie,Solar,,,,Will see the construction of a new 50MW project in Northern Viriginia.,Solar Power World,Virginia,,Digital Realty
2019-10-01,Poland,Signify,Green Investment Group,Onshore Wind,42,10,Corporate,existing windfarm,Signify.com,,,Signify
2019-10-01,Sweden,Skelleftea kraft,Ardian Infrastructure,Onshore Wind,83,10,Utility,,,,,Skelleftea kraft
2019-09-01,Sweden,Google,GE Renewables,Onshore Wind,175,,Corporate,COD 2020,GE Renewables website - news,,,Google
2019-09-01,Denmark,Chr. Hansen,Better Energy,Solar,50,10,Corporate,,,,,Chr. Hansen
2019-09-01,United States,Microsoft,Engie,Solar,85,,,"Will receive electricity from the Las Lomas Wind Park in Starr County, and the Anson solar plant in Jones County. Both are scheduled to be operational in January 2021.",Renewables Now,Texas,,Microsoft
2019-09-01,United States,Microsoft,Engie,Onshore Wind,200,,,Will see the consturction of a new 80MW project in Jaub County.,Renewables Now,Texas,,Microsoft
2019-09-01,Italy,DXT Commodities,KGAL,Solar,53,5,Utility,"DXT will buy all the power produced by the plant, totalling around 95 GWh, paying developer KGAL a fixed price for the five years. ORI Martin will then buy the green energy “virtually” from DXT, after it is injected into the country’s power grid, to fuel its steel plant.",Reuters,,,DXT Commodities
2019-09-01,Great Britain,Shell Energy,Falck Renewables,Onshore Wind,67.5,,Utility,,,,,Shell Energy
2019-09-01,Spain,Heineken NV,Iberdrola SA,Solar,50,11,Corporate,Commercial operations are expected to start in 2020.,Renewables Now,,,Heineken NV
2019-09-01,United States,Utah Municipal Power Agency,sPower,Solar,80,,,"Virtual PPA. Will see electricty from the Maryneal wind park in Nolan County, scheduled to be operational in December 2020.",Solar Power World,Utah,,Utah Municipal Power Agency
2019-09-01,Sweden,Google,Naev Solventus,Onshore Wind,120,10,Corporate,The project is believed to be selling energy to Google for 10-12 years at a price of around EUR 25/MWh.,Renewables Now,,,Google
2019-09-01,Denmark,Google,Better Energy,Solar,100,10,Corporate,"Three solar plants in the municipalities of Gimming in Randers, Næstved and Nordjurs in Denmark for a total capacity of 100 MWp.",Better Energy news,,,Google
2019-09-01,Denmark,Google,European Energy,Solar,82,,Corporate,Danish renewables developer European Energy A/S will build two solar power plants with a combined capacity of 82 MW exclusively to supply electricity to Google LLC.,https://renewablesnow.com/news/update-european-energy-google-ink-ppa-for-82-mw-of-solar-power-669789/,,,Google
2019-09-01,Finland,Google,Ilmatar and Omnes Capital,Onshore Wind,125,10,Corporate,,,,,Google
2019-09-01,Finland,Google,Neoen (80%) and Prokon Finland (20%),Onshore Wind,130,10,Corporate,,,,,Google
2019-09-01,United States,Sprint,Duke Energy,Onshore Wind,173.3,12,,Will be supplied by the under development Aviator Wind project in late 2020.,Renewables Now,Texas,,Sprint
2019-09-01,Spain,n/a,Encavis,Solar,300,10,Utility,"COD in Q3 2020, total contracted volume of 4.3 TWh",https://www.encavis.com/news/pressemitteilungen/pressemitteilung/encavis-ag-unterzeichnet-langfristigen-stromabnahmevertrag-ppa-ueber-10-jahre-fuer-den-spanischen-so/,Talayuela,,
2019-09-01,Great Britain,Bristol Airport,Orsted,Offshore Wind,,3,Corporate,,,,,Bristol Airport
2019-09-01,Spain,Holaluz,Falck Renewables,Onshore Wind,10,7,Utility,Power purchase agreement (PPA) for the sale of 75% of the electricity generated by a 10-MW under-construction wind park. Scheduled to commence operations in the last quarter of 2019.,Renewables Now,,,Holaluz
2019-09-01,Germany,Deutsche Bahn,Innogy SE and RWE,Offshore Wind,25,5,Corporate,,,,,Deutsche Bahn
2019-09-01,Germany,Greenpeace Energy,Quadra Energy,Onshore Wind,60,,Utility,,,,,Greenpeace Energy
2019-09-01,Spain,Factorenergia,Grupo Enhol,Solar,126,12,Utility,,,,,Factorenergia
2019-09-01,France,Alderney Electricity,Simec Atlantis Energy,Offshore Wind,,25,Utility,SIMEC Atlantis Energy Ltd (LON:SAE) today said it will supply at least 5 GWh of electricity annually to the Alderney island of the Channel Islands group from a pilot tidal array system off the French coast.,https://renews.biz/55165/simec-atlantis-agrees-alderney-tidal-ppa/,,,Alderney Electricity
2019-09-01,Sweden,N/A,SUSI Partners,Onshore Wind,94.6,12,N/A,COD in 2021,HCOB,South Sweden (Lyngsasa),,
