Month,Belgium,China,France,India,Italy,Japan,Netherlands,South Korea,Spain,Turkey,United Kingdom
2017-11-30 0:00:00,0.269870531,6.065370563,0.977280702,2.784391986,0.522129021,9.056742945,0,4.498357342,1.687514399,1.415062765,0.243222823
2017-12-31 0:00:00,0,7.232442812,0.877387045,2.454101806,0.606619812,10.60788823,0,5.562338638,1.508400615,1.900947581,0.473539628
2018-01-31 0:00:00,0.116209022,6.956415366,1.024542155,2.45445552,0.525220294,11.73642719,0,6.019064791,1.421487129,1.974651918,0.102231151
2018-02-28 0:00:00,0.085129752,5.313665152,0.713619692,2.331716302,0.35719226,11.25737285,0.087434243,5.986458413,1.004504405,1.650204638,0.159326402
2018-03-31 0:00:00,0.085659284,4.892645367,1.025218848,2.986767323,0.827462798,10.48762529,0.102069592,6.400455281,0.908996601,1.054623961,0.529702077
2018-04-30 0:00:00,0.201566485,4.821227004,1.094936904,2.55723604,0.614883997,8.384284803,0.296820111,4.242737202,1.32995605,0.536227267,0.876555906
2018-05-31 0:00:00,0.43419805,5.552328083,1.238930596,2.432808086,0.787652662,7.989205308,0.413447607,4.123960421,1.089256354,0.640044429,0.261211961
2018-06-30 0:00:00,0.304425512,5.558136893,0.939722487,2.737641057,0.615268819,8.057136617,0.164387966,4.95140574,1.257691407,0.434844637,0.587148875
2018-07-31 0:00:00,0.27477598,6.03144476,1.104918209,2.552543558,0.699608233,9.118121673,0.044595714,4.062984792,1.216834222,0.475936932,0.318529713
2018-08-31 0:00:00,0.354690697,6.526321915,1.036885406,2.452046965,0.611675232,9.998874381,0.082871332,3.638483626,1.288735767,0.459934802,0.22777893
2018-09-30 0:00:00,0.107716876,5.786192072,0.740684833,2.742286268,0.607950988,8.583514894,0.390534675,5.192042192,1.127665599,0.349790967,0.330344208
2018-10-31 0:00:00,0.637051207,6.253714769,1.086270922,2.687079288,0.863681616,8.84025056,0.461229388,4.79548989,1.639225787,0.617489215,1.039693064
2018-11-30 0:00:00,0.279088393,8.93441992,1.577645389,2.386624472,1.173310989,8.516915938,0.835782157,5.077434532,1.264558529,1.081764821,1.25933956
2018-12-31 0:00:00,0.209807023,8.970453992,1.519520186,2.49601356,0.970889861,10.49533529,0.636047229,6.529230406,1.710754422,2.060437436,1.651252661
2019-01-31 0:00:00,0.534298125,9.671558713,1.489296894,2.353972233,0.916893749,10.42148311,0.647169023,5.447976277,1.240535059,2.298452568,1.633840491
2019-02-28 0:00:00,0.317437561,6.005484493,1.579158029,2.166038865,0.956600713,10.22984842,0.643586659,4.573041704,1.215317139,1.725353848,1.143234099
2019-03-31 0:00:00,1.06402364,6.024105241,2.707812192,2.465409068,1.356749273,9.538942202,0.846126503,4.562134395,1.46774754,1.14076154,1.691709149
2019-04-30 0:00:00,0.653722287,5.974439285,2.917805987,2.846064103,1.133756807,7.526962545,1.046518116,4.698626907,1.533638659,0.643751689,2.321188828
2019-05-31 0:00:00,0.593638831,6.809542719,1.795232578,2.646719114,1.135318702,7.544405841,0.947316096,4.16561267,1.9199333,0.468966891,2.162010778
2019-06-30 0:00:00,0.636429179,6.582429153,2.010040356,2.865132455,1.252201933,7.378757109,1.009643835,4.538195622,2.021152492,0.637295902,0.629045543
